Sort Date,Highest Profile,Release Date,Title,EleutherAI PoC,Lead Org,Primary Area,Additional Area,Status,Conference or Journal,Archival Date,Workshop,Workshop Date,Superlatives,Link,On website,
"May 7, 2024",Yes,"Oct 15, 2023",Sparse Autoencoders Find Highly Interpretable Features in Language Models,Hoagy Cunningham,EleutherAI,Interpretability,NLP,Accepted,ICLR,"May 7, 2024",NeurIPS Workshop on Attributing Model Behavior at Scale ,"Dec 15, 2023",,https://arxiv.org/abs/2309.08600,yes,
"May 7, 2024",Yes,"Aug 31, 2023",YaRN: Efficient Context Window Extension of Large Language Models,Honglu Fan,EleutherAI,NLP,NLP,Accepted,ICLR,"May 7, 2024",,,,https://arxiv.org/abs/2309.00071,yes,
"May 11, 2024",,"Mar 4, 2024",Attributing Mode Collapse in the fine-tuning of Large Language Models,Laura O'Mahony,EleutherAI,NLP,Interpretability,Accepted,,,ICLR 2024 Workshop on Mathematical and Empirical Understanding of Foundation Models,"May 11, 2024",,https://openreview.net/forum?id=3pDMYjpOxk&referrer=%5Bthe%20profile%20of%20Hailey%20Schoelkopf%5D(%2Fprofile%3Fid%3D~Hailey_Schoelkopf1),yes,
"May 14, 2024",Yes,"Nov 23, 2022",OpenFold: Retraining AlphaFold2 yields new insights into its learning mechanisms and capacity for generalization,Stella Biderman,Harvard and Columbia,Other Modalities,Interpretability,Accepted,Nature Methods,5/14/2024,,,,https://www.biorxiv.org/content/10.1101/2022.11.20.517210v3,yes,
"May 20, 2024",,"Sep 6, 2023",HAE-RAE Bench: Evaluation of Korean Knowledge in Language Models,Guijin Son,EleutherAI,NLP,NLP,Accepted,COLING,"May 20, 2024",,,,https://arxiv.org/abs/2309.02706,yes,
"May 23, 2024",Yes,"May 23, 2024",Lessons from the Trenches on Reproducible Evaluation of Language Models,Stella Biderman,EleutherAI,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2405.14782,yes,
"Jun 7, 2024",,"Mar 13, 2024",Simple and Scalable Strategies to Continually Pre-train Large Language Models,Quentin Anthony,Mila,NLP,NLP,Accepted,TMLR,"Jun 7, 2024",,,,https://arxiv.org/abs/2403.08763,yes,
"Jun 18, 2024",,"Feb 13, 2024",Improving Black-box Robustness with In-Context Rewriting,Kyle O'Brien ,EleutherAI,NLP,NLP,Accepted,TMLR,"Jun 18, 2024",,,,https://arxiv.org/abs/2402.08225,yes,
"Jul 16, 2024",,"Jul 16, 2024",GoldFinch: High Performance RWKV/Transformer Hybrid with Linear Pre-Fill and Extreme KV-Cache Compression,Daniel Goldstein,Recursal AI,NLP,NLP,arXiv,,,,,,https://arxiv.org/pdf/2407.12077,yes,
"Jul 23, 2024",,"Dec 11, 2023",Grokking Group Multiplication with Cosets,Dashiell Stander,EleutherAI,Interpretability,Interpretability,Accepted,ICML,"Jul 23, 2024",,,,https://arxiv.org/abs/2312.06581,yes,
"Jul 23, 2024",,"Feb 6, 2024",Neural Networks Learn Statistics of Increasing Complexity,Nora Belrose,EleutherAI,Interpretability,Interpretability,Accepted,ICML,"Jul 23, 2024",,,,https://arxiv.org/abs/2402.04362,yes,
"Jul 23, 2024",,"Jun 30, 2023",Stay on topic with Classifier-Free Guidance,Honglu Fan,EleutherAI,NLP,NLP,Accepted,ICML,"Jul 23, 2024",,,,https://arxiv.org/abs/2306.17806,yes,
"Jul 23, 2024",,"Apr 16, 2024",Position: Social Choice Should Guide AI Alignment: On Dealing with Diverse Human Feedback,Hailey Schoelkopf,"CMU, Potsdam Institute, UC Berkeley",Ethics and Policy,Alignment,Accepted,ICML Position Paper Track,"Jul 23, 2024",SSCW 2024,"Jul 4, 2024",,https://arxiv.org/abs/2404.10271,yes,
"Jul 23, 2024",,"Mar 7, 2024",A Safe Harbor for AI Evaluation and Red Teaming ,Aviya Skowron,MIT,Ethics and Policy,Security,Accepted,ICML Position Paper Track (Oral),"Jul 23, 2024",,,Oral,https://arxiv.org/abs/2403.04893,yes,
"Jul 23, 2024",Yes,"Feb 27, 2024",On the Societal Impact of Open Foundation Models,Aviya Skowron,Stanford University,Ethics and Policy,Ethics and Policy,Accepted,ICML Position Paper Track (Oral),"Jul 23, 2024",,,Oral,https://crfm.stanford.edu/open-fms/,yes,
"Jul 25, 2024",,"Jul 25, 2024",Self-Directed Synthetic Dialogues and Revisions Technical Report,Hailey Schoelkopf,AI2,NLP,NLP,arXiv,,,,,,https://arxiv.org/abs/2407.18421,yes,
"Aug 1, 2024",,"Feb 18, 2024",Multi-Task Inference: Can Large Language Models Follow Multiple Instructions at Once?,Guijin Son,EleutherAI,NLP,NLP,Accepted,ACL,"Aug 1, 2024",ICLR 2024 Workshop on Mathematical and Empirical Understanding of Foundation Models,"May 11, 2024",,https://arxiv.org/abs/2402.11597,yes,
"Aug 1, 2024",,"Aug 1, 2024",Cold Compress: A Toolkit for Benchmarking KV Cache Compression Approaches,Hailey Schoelkopf,AnswerDotAI,NLP,NLP,arXiv,,,,,,https://github.com/AnswerDotAI/cold-compress,"No (not added, Hailey does not appear to be an author?)",She is listed on the github: https://github.com/AnswerDotAI/cold-compress#citations
"Aug 12, 2024",Yes,"Jan 25, 2024",The Case for Co-Designing Model Architectures with Hardware,Quentin Anthony,EleutherAI,HPC,HPC,Accepted,ICPP,"Aug 12, 2024",,,,https://arxiv.org/abs/2401.14489,yes,
"Oct 7, 2024",,"Apr 8, 2024",Eagle and Finch: RWKV with Matrix-Valued States and Dynamic Recurrence,Quentin Anthony,LF AI & Data and EleutherAI,NLP,NLP,Accepted,COLM,"Oct 7, 2024",,,,https://arxiv.org/abs/2404.05892,yes,
"Oct 7, 2024",,"Dec 2, 2023",Eliciting Latent Knowledge from Quirky Language Models,Alex Mallen,EleutherAI,Interpretability,NLP,Accepted,COLM,"Oct 7, 2024",ICLR 2024 Workshop on Mathematical and Empirical Understanding of Foundation Models,"May 11, 2024",,https://arxiv.org/abs/2312.01037,yes,
"Oct 15, 2024",,"Jun 24, 2024",From Decoding to Meta-Generation: Inference-time Algorithms for Large Language Models,Hailey Schoelkopf,CMU,NLP,NLP,Accepted,TMLR,"Oct 15, 2024",,,,https://arxiv.org/abs/2406.16838,yes,
"Oct 22, 2024",,"Oct 22, 2024",Balancing Label Quantity and Quality for Scalable Elicitation,Alex Mallen,EleutherAI,NLP,Alignment,arXiv,,,,,,https://arxiv.org/abs/2410.13215,yes,
"Oct 30, 2024",,"Oct 30, 2024",Lina-Speech: Gated Linear Attention is a Fast and Parameter-Efficient Learner for text-to-speech synthesis,"Harrison Vanderbyl, Théodor Lemerle",Sorbonne Université,NLP,Other Modalities,arXiv,,,,,,https://arxiv.org/abs/2410.23320,yes,
"Nov 12, 2024",,"Nov 12, 2024",Re-Evaluating Evaluation for Multilingual Summarization,Jessica Forde,Brown University,NLP,NLP,Accepted,EMNLP,"Nov 12, 2024",,,,https://aclanthology.org/2024.emnlp-main.1085.pdf,yes,
"Nov 13, 2024",,"Nov 13, 2024",Refusal in LLMs is an Affine Function,Thomas Marshall,EleutherAI,Interpretability,NLP,arXiv,,,,,,https://arxiv.org/abs/2411.09003,yes,
"Nov 15, 2024",,"Oct 23, 2023",Linear Representations of Sentiment in Large Language Models,Curt Tigges,MATS,Interpretability,NLP,Accepted,BlackBox NLP,"Nov 15, 2024",,,,https://arxiv.org/abs/2310.15154,yes,
"Dec 1, 2024",,"Jan 25, 2022",Documenting Geographically and Contextually Diverse Data Sources: The BigScience Catalogue of Language Data and Resources,Stella Biderman,BigScience,NLP,NLP,Accepted,Northern European Journal of Language Technology,"Dec 1, 2024",,,,https://arxiv.org/abs/2201.10066,yes,
"Dec 7, 2024",,"Mar 1, 2024",The Foundation Model Development Cheatsheet: A Review of Responsible AI Tools & Resources,Stella Biderman,MIT and EleutherAI,NLP,Ethics and Policy,Accepted,TMLR,"Dec 7, 2024",,,,https://arxiv.org/abs/2406.16746,yes,
"Dec 10, 2024",,"Jul 15, 2024",LLM Circuit Analyses Are Consistent Across Training and Scale,Curt Tigges,EleutherAI,Interpretability,Interpretability,Accepted,NeurIPS,"Dec 10, 2024",,,,https://arxiv.org/abs/2407.10827,yes,
