Sort Date,Highest Profile,Release Date,Title,EleutherAI PoC,Lead Org,Primary Area,Additional Area,Status,Conference or Journal,Archival Date,Workshop,Workshop Date,Superlatives,Link,On website,
"Jul 4, 2026",,,L1 Influence in L2 Language Models: A Human-centric Approach,Catherine Arnett,University of Cambridge,NLP,NLP,Accepted,,,Computational Developmental Linguistics Workshop at ACL,"Jul 4, 2026",,,,
"Jul 7, 2026",,"Feb 18, 2026",When AI Benchmarks Plateau: A Systematic Study of Benchmark Saturation,Jenn Mickel,EvalEval Coalition,NLP,Ethics and Policy,Accepted,ICML,"Jul 7, 2026",,,,https://arxiv.org/abs/2602.16763,,
"Jul 8, 2026",,,Faults in Our Formal Benchmarking: Dataset Defects and Evaluation Failures in Lean Theorem Proving,Pawan Ammanamanchi,EleutherAI,NLP,NLP,Accepted,ICML,"Jul 8, 2026",Math-AI Workshop @ NeurIPS,,,,,
"Jul 8, 2026",,"Nov 6, 2025",Who Evaluates AI's Social Impacts? Mapping Coverage and Gaps in First and Third Party Evaluations,Jenn Mickel,EvalEval Coalition,NLP,Ethics and Policy,Accepted,ICML,"Jul 8, 2026",,,,https://arxiv.org/abs/2511.05613,,
"Jul 10, 2026",Yes,"Jun 3, 2026","Position: Don't Just ""Fix it in Post'': A Science of AI Must Study Learning Dynamics",Stella Biderman,EleutherAI,Interpretability,NLP,Accepted,ICML (Oral),"Jul 7, 2026",MechInterp Workshop @ ICML,"Jul 10, 2026",Oral,,,
"Jul 10, 2026",,,Automated Attribution Graph Interpretation via Probe Prompting,Gonçalo Paulo,EleutherAI,Interpretability,NLP,Accepted,,,Mechanistic interpretability workshop @ ICML,"Jul 10, 2026",,,,
"Jul 11, 2026",,"Feb 23, 2026",Thought Virus: Viral Misalignment via Subliminal Prompting in Multi-Agent Systems,Moritz Weckbecker,EleutherAI,Alignment,Security,Under Review,COLM,,Agents in the Wild @ ICML,"Jul 11, 2026",,https://arxiv.org/abs/2603.00131,,
"Oct 24, 2026",,,Apples to Apples? Towards Comparable Crosslingual Language Model Evaluation,Catherine Arnett,Georgetown,NLP,NLP,Under Review,EMNLP,"Oct 24, 2026",,,,,,
"Oct 24, 2026",Yes,,Autoregressive Transformer Models Are Systemically Biased Toward English-like Languages.,Catherine Arnett,Georgetown,NLP,NLP,Under Review,EMNLP,"Oct 24, 2026",,,,,,
"Oct 24, 2026",,,BuzzASR: A Swarm of 100+ Monolingual Speech Recognition Models,Catherine Arnett,UCSD,NLP,NLP,Under Review,EMNLP,"Oct 24, 2026",,,,,,
"Oct 24, 2026",Yes,,Cross-Lingual Alignment Without Joint Training: Do Monolingual Language Models Converge on Universal Representations?,Catherine Arnett,University of Cambridge,NLP,NLP,Under Review,EMNLP,"Oct 24, 2026",,,,,,
"Oct 24, 2026",,,No Single Tokenizer Feature Reliably Predicts Downstream Language Model Performance,Catherine Arnett,EleutherAI,NLP,NLP,Under Review,EMNLP,"Oct 24, 2026",,,,,,
"Oct 24, 2026",,,Structured Exposure Pretraining in Bilingual Language Models for Modelling L2 Language Processing,Catherine Arnett,University of Cambridge,NLP,NLP,Under Review,EMNLP,"Oct 24, 2026",,,,,,
"Dec 6, 2026",,,Language Model Shape Shapes Behavior,Catherine Arnett,MIT,NLP,NLP,Under Review,NeurIPS,"Dec 6, 2026",,,,,,
"Dec 6, 2026",,"Jun 11, 2026",LoRA-Muon: Spectral Steepest Descent on the Low-Rank Manifold,@leloy!,EleutherAI,NLP,HPC,Under Review,NeurIPS,"Dec 6, 2026",,,,https://arxiv.org/abs/2606.12921,,
"Dec 6, 2026",,"May 9, 2026",Soohak: A Mathematician-Curated Benchmark for Evaluating Research-level Math Capabilities of LLMs,Guijin Son,EleutherAI,NLP,NLP,Under Review,NeurIPS,"Dec 6, 2026",,,,https://arxiv.org/abs/2605.09063,,
"Dec 6, 2026",,"Feb 6, 2023",Test Set Contamination of Generative Evaluations,Baber Abbasi,Stanford,NLP,NLP,Under Review,NeurIPS,"Dec 6, 2026",Foundations of Deep Generative Models @ ICML,"Jul 10, 2026",,https://arxiv.org/abs/2601.04301,,
"Dec 6, 2026",,"Jun 8, 2026",Evaluation Cards: An Interpretive Layer for AI Evaluation Reporting,Jenn Mickel,EvalEval Coalition,NLP,NLP,Under Review,NeurIPS Datasets and Evaluations,"Dec 6, 2026",,,,https://arxiv.org/abs/2606.09809,,
"Dec 6, 2026",Yes,"Jun 12, 2026",Every Eval Ever: A Unifying Schema and Community Repository for AI Evaluation Results,Jenn Mickel,EvalEval Coalition,NLP,NLP,Under Review,NeurIPS Datasets and Evaluations,"Dec 6, 2026",,,,,,
"Dec 6, 2026",Yes,"Oct 25, 2025",Global PIQA: Evaluating Physical Commonsense Reasoning Across 100+ Languages and Cultures,Catherine Arnett,EleutherAI,NLP,NLP,Under Review,NeurIPS Evaluations and Benchmarks,"Dec 6, 2026",,,,https://arxiv.org/abs/2510.24081,,
"Dec 6, 2026",,,Position: What AI Governance Needs from Mechanistic Auditing,Stella Biderman,Fazl's Lab,Interpretability,Interpretability,Under Review,NeurIPS Position Paper Track,"Dec 6, 2026",Technical AI Governance Workshop @ ICML,"Jul 10, 2026",,,,
,,,"The State of Interpretability for Safety: Survey of Foundations, Methods, and Research Directions",Stella Biderman,Fazl's Lab,Alignment,Interpretability,Work-in-Progress,TMLR,,,,,,,
